Time,PAR,tsec,date
2013-07-27T00:00:14Z,1.2,14,2013-07-27
2013-07-27T00:00:44Z,1.2,44,2013-07-27
2013-07-27T00:01:14Z,1.2,74,2013-07-27
2013-07-27T00:01:44Z,1.2,104,2013-07-27
2013-07-27T00:02:14Z,1.2,134,2013-07-27
2013-07-27T00:02:44Z,1.2,164,2013-07-27
2013-07-27T00:03:14Z,1.2,194,2013-07-27
2013-07-27T00:03:44Z,1.2,224,2013-07-27
2013-07-27T00:04:14Z,1.2,254,2013-07-27
2013-07-27T00:04:44Z,1.2,284,2013-07-27
2013-07-27T00:05:14Z,1.2,314,2013-07-27
2013-07-27T00:05:44Z,1.2,344,2013-07-27
2013-07-27T00:06:14Z,1.2,374,2013-07-27
2013-07-27T00:06:44Z,1.2,404,2013-07-27
2013-07-27T00:07:14Z,1.2,434,2013-07-27
2013-07-27T00:07:44Z,1.2,464,2013-07-27
2013-07-27T00:08:14Z,1.2,494,2013-07-27
2013-07-27T00:08:44Z,1.2,524,2013-07-27
2013-07-27T00:09:14Z,1.2,554,2013-07-27
2013-07-27T00:09:44Z,1.2,584,2013-07-27
2013-07-27T00:10:14Z,1.2,614,2013-07-27
2013-07-27T00:10:44Z,1.2,644,2013-07-27
2013-07-27T00:11:14Z,1.2,674,2013-07-27
2013-07-27T00:11:44Z,1.2,704,2013-07-27
2013-07-27T00:12:14Z,1.2,734,2013-07-27
2013-07-27T00:12:44Z,1.2,764,2013-07-27
2013-07-27T00:13:14Z,1.2,794,2013-07-27
2013-07-27T00:13:44Z,1.2,824,2013-07-27
2013-07-27T00:14:14Z,1.2,854,2013-07-27
2013-07-27T00:14:44Z,1.2,884,2013-07-27
2013-07-27T00:15:14Z,1.2,914,2013-07-27
2013-07-27T00:15:44Z,1.2,944,2013-07-27
2013-07-27T00:16:14Z,1.2,974,2013-07-27
2013-07-27T00:16:44Z,1.2,1004,2013-07-27
2013-07-27T00:17:14Z,1.2,1034,2013-07-27
2013-07-27T00:17:44Z,1.2,1064,2013-07-27
2013-07-27T00:18:14Z,1.2,1094,2013-07-27
2013-07-27T00:18:44Z,1.2,1124,2013-07-27
2013-07-27T00:19:14Z,1.2,1154,2013-07-27
2013-07-27T00:19:44Z,1.2,1184,2013-07-27
2013-07-27T00:20:14Z,1.2,1214,2013-07-27
2013-07-27T00:20:44Z,1.2,1244,2013-07-27
2013-07-27T00:21:14Z,1.2,1274,2013-07-27
2013-07-27T00:21:44Z,1.2,1304,2013-07-27
2013-07-27T00:22:14Z,1.2,1334,2013-07-27
2013-07-27T00:22:44Z,1.2,1364,2013-07-27
2013-07-27T00:23:14Z,1.2,1394,2013-07-27
2013-07-27T00:23:44Z,1.2,1424,2013-07-27
2013-07-27T00:24:14Z,1.2,1454,2013-07-27
2013-07-27T00:24:44Z,1.2,1484,2013-07-27
2013-07-27T00:25:14Z,1.2,1514,2013-07-27
2013-07-27T00:25:44Z,1.2,1544,2013-07-27
2013-07-27T00:26:14Z,1.2,1574,2013-07-27
2013-07-27T00:26:44Z,1.2,1604,2013-07-27
2013-07-27T00:27:14Z,1.2,1634,2013-07-27
2013-07-27T00:27:44Z,1.2,1664,2013-07-27
2013-07-27T00:28:14Z,1.2,1694,2013-07-27
2013-07-27T00:28:44Z,1.2,1724,2013-07-27
2013-07-27T00:29:14Z,1.2,1754,2013-07-27
2013-07-27T00:29:44Z,1.2,1784,2013-07-27
2013-07-27T00:30:14Z,1.2,1814,2013-07-27
2013-07-27T00:30:44Z,1.2,1844,2013-07-27
2013-07-27T00:31:14Z,1.2,1874,2013-07-27
2013-07-27T00:31:44Z,1.2,1904,2013-07-27
2013-07-27T00:32:14Z,1.2,1934,2013-07-27
